swedish,english
Hunden har sprungit iväg.,The dog has run off.
Vårt lag vinner sällan borta.,Our team rarely wins away.
Han vann en cykel på lotteriet.,He won a bicycle in the lottery.
De har vunnit tre matcher i rad.,They have won three matches in a row.
Jag binder ihop tidningarna.,I tie the newspapers together.
Hon band en krans av blommor.,She tied a wreath of flowers.
Vi har bundit fast båten.,We have tied up the boat.
Mina strumpor försvinner i tvätten.,My socks disappear in the wash.
Katten försvann i tre dagar.,The cat disappeared for three days.
Nycklarna har försvunnit igen.,The keys have disappeared again.
Han sitter alltid längst bak.,He always sits at the very back.
Vi satt vid brasan hela kvällen.,We sat by the fire all evening.
Fågeln har suttit på taket i timmar.,The bird has sat on the roof for hours.
Isen spricker på våren.,The ice cracks in the spring.
Glaset sprack i diskmaskinen.,The glass cracked in the dishwasher.
Muren har spruckit på flera ställen.,The wall has cracked in several places.
Jag slipper jobba på fredag.,I don't have to work on Friday.
Hon slapp betala avgiften.,She got out of paying the fee.
Vi har sluppit alla problem.,We have escaped all the problems.
Jag hinner inte äta lunch.,I don't have time to eat lunch.
Han hann med sista tåget.,He caught the last train.
Vi har hunnit se två museer.,We have managed to see two museums.
Vattnet rinner ur kranen.,The water runs from the tap.
Tårarna rann nerför hennes kind.,The tears ran down her cheek.
Färgen har runnit på duken.,The paint has run on the canvas.
Han bär alla väskor själv.,He carries all the bags himself.
Jag bar veden in i huset.,I carried the firewood into the house.
Hon har burit klockan i tjugo år.,She has worn the watch for twenty years.
Jag skär brödet i tunna skivor.,I cut the bread into thin slices.
Kocken skar upp kakan.,The chef cut up the cake.
Vi har skurit alla grönsaker.,We have cut all the vegetables.
Någon stjäl äpplen från trädgården.,Someone steals apples from the garden.
Han stal min plats på tåget.,He stole my seat on the train.
Tjuven har stulit två cyklar.,The thief has stolen two bicycles.
Ingen svälter i det här landet.,Nobody starves in this country.
Djuren svalt under vintern.,The animals starved during the winter.
Han har svultit sig i en vecka.,He has starved himself for a week.
Tåget far förbi utan att stanna.,The train goes past without stopping.
Vi for till fjällen i påsk.,We went to the mountains at Easter.
Hon har farit illa av stressen.,She has suffered from the stress.
Jag tar bussen till jobbet.,I take the bus to work.
Han tog en bild av huset.,He took a picture of the house.
Vi har tagit ett viktigt beslut.,We have made an important decision.
Hästen drar vagnen.,The horse pulls the cart.
Jag drog ut sladden.,I pulled out the cable.
De har dragit en ny linje på kartan.,They have drawn a new line on the map.
Han slår gräset varje vecka.,He mows the grass every week.
Blixten slog ner i tornet.,Lightning struck the tower.
Hon har slagit rekordet.,She has broken the record.
Löven faller i oktober.,The leaves fall in October.
Han föll på isen.,He fell on the ice.
Snön har fallit hela natten.,The snow has fallen all night.
Jag håller din kaffekopp.,I'm holding your coffee cup.
Hon höll ett tal på bröllopet.,She gave a speech at the wedding.
Repet har hållit hela vintern.,The rope has held all winter.
Vi äter fisk på fredagar.,We eat fish on Fridays.
Han åt en hel pizza.,He ate a whole pizza.
Barnen har ätit upp all glass.,The children have eaten all the ice cream.
Fiolen låter vackert.,The violin sounds beautiful.
Hon lät mig köra bilen.,She let me drive the car.
De har låtit dörren stå öppen.,They have left the door standing open.
Barnet gråter i vagnen.,The baby is crying in the pram.
Jag grät under hela filmen.,I cried during the whole film.
Hon har gråtit sig till sömns.,She has cried herself to sleep.
Jag sover dåligt på somrarna.,I sleep badly in the summers.
Han sov i tolv timmar.,He slept for twelve hours.
Katten har sovit i soffan.,The cat has slept on the sofa.
Bussen kommer om fem minuter.,The bus comes in five minutes.
Hon kom hem sent igår.,She came home late yesterday.
Posten har kommit.,The post has come.
Jag är trött idag.,I am tired today.
Han var lärare förr.,He was a teacher before.
Det har varit en lång vecka.,It has been a long week.
Vi har en gammal katt.,We have an old cat.
Hon hade långt hår som ung.,She had long hair when she was young.
De har haft samma bil i tjugo år.,They have had the same car for twenty years.
Jag gör läxorna på kvällen.,I do my homework in the evening.
Han gjorde en tavla till mig.,He made a painting for me.
Vi har gjort allt vi kan.,We have done everything we can.
Hon går till skolan varje dag.,She walks to school every day.
Vi gick genom parken.,We walked through the park.
Klockan har gått sönder.,The clock has broken.
Bilen står på gatan.,The car is standing in the street.
Han stod i kö i en timme.,He stood in a queue for an hour.
Vasen har stått där i åratal.,The vase has stood there for years.
Jag får ett paket idag.,I'm getting a parcel today.
Hon fick ett brev från banken.,She got a letter from the bank.
Vi har fått ett nytt förslag.,We have received a new proposal.
Jag ser en älg i skogen.,I see a moose in the forest.
Han såg filmen två gånger.,He saw the film twice.
Vi har sett hela utställningen.,We have seen the whole exhibition.
Jag ger dig min adress.,I'll give you my address.
Hon gav honom en present.,She gave him a present.
De har gett oss mer tid.,They have given us more time.
Jag vet svaret på frågan.,I know the answer to the question.
Han visste vägen hem.,He knew the way home.
Vi har alltid vetat det.,We have always known that.
Hon kan tala fyra språk.,She can speak four languages.
Jag kunde inte sova inatt.,I couldn't sleep last night.
Han har kunnat cykla sedan han var fyra.,He has been able to cycle since he was four.
Jag vill ha en kopp te.,I want a cup of tea.
Vi ville stanna längre.,We wanted to stay longer.
Hon har alltid velat resa till Japan.,She has always wanted to travel to Japan.
Vi ska äta klockan sju.,We're going to eat at seven.
Han skulle ringa igår.,He was supposed to call yesterday.
Supinum skolat används knappt alls i modern svenska.,The supine skolat is barely used at all in modern Swedish.
Du bör vila mer.,You ought to rest more.
Vi borde ha frågat först.,We should have asked first.
Supinum bort är ovanligt utanför formell skrift.,The supine bort is uncommon outside formal writing.
Jag måste gå nu.,I must go now.
Vi måste vänta i regnet.,We had to wait in the rain.
Hon har måst arbeta över.,She has had to work overtime.
Han säger alltid samma sak.,He always says the same thing.
Hon sa ingenting på hela kvällen.,She said nothing all evening.
Du har sagt det förut.,You have said that before.
Jag lägger nycklarna på hyllan.,I put the keys on the shelf.
Han la boken på bordet.,He put the book on the table.
Vi har lagt nytt golv i köket.,We have laid a new floor in the kitchen.
Du väljer alltid rätt vin.,You always choose the right wine.
Hon valde den blå jackan.,She chose the blue jacket.
Vi har valt en ny ordförande.,We have chosen a new chairperson.
De säljer jordgubbar vid vägen.,They sell strawberries by the road.
Han sålde sin gamla cykel.,He sold his old bicycle.
Vi har sålt huset.,We have sold the house.
Jag sätter blommorna i vatten.,I put the flowers in water.
Hon satte barnet i stolen.,She put the child in the chair.
De har satt upp en skylt.,They have put up a sign.
Träden dör av torkan.,The trees are dying from the drought.
Min farfar dog för tio år sedan.,My grandfather died ten years ago.
Elden har dött ut.,The fire has died out.
Jag heter Andy.,My name is Andy.
Hunden hette Bella.,The dog was called Bella.
Gatan har hetat så sedan 1800-talet.,The street has been called that since the 19th century.
Boken ligger på bordet.,The book is lying on the table.
Han låg i sängen hela dagen.,He lay in bed all day.
Nyckeln har legat i fickan.,The key has been in the pocket.
